device_id,temp_c,vibration_mm_s,status
DEV-B,35.98,0.369,ok
DEV-C,48.38,0.491,ok
DEV-B,31.47,0.138,ok
DEV-B,61.14,0.961,ok
DEV-B,47.3,0.545,ok
DEV-E,53.11,1.776,fault
DEV-B,39.2,0.61,ok
DEV-B,31.85,0.309,ok
DEV-A,50.06,1.354,ok
DEV-C,51.97,1.2,ok
DEV-C,53.77,0.93,ok
DEV-D,45.22,1.308,ok
DEV-E,30.06,1.039,ok
DEV-C,44.14,0.411,ok
DEV-E,45.85,1.011,ok
DEV-A,50.56,1.134,ok
DEV-E,50.14,1.196,ok
DEV-D,37.0,0.798,ok
DEV-D,29.39,0.358,ok
DEV-C,41.93,0.288,ok
DEV-B,31.18,0.848,ok
DEV-A,40.54,0.308,ok
DEV-C,34.57,0.286,ok
DEV-E,42.0,0.711,ok
DEV-A,46.34,0.003,ok
DEV-E,44.35,0.181,ok
DEV-B,55.07,1.36,ok
DEV-E,36.29,1.038,ok
DEV-C,40.3,0.51,ok
DEV-B,32.81,2.785,fault
DEV-E,51.34,0.94,ok
DEV-B,31.09,0.372,ok
DEV-D,41.44,1.051,ok
DEV-B,31.5,0.051,ok
DEV-E,51.44,1.017,ok
DEV-C,48.36,0.1,ok
DEV-C,41.04,0.172,ok
DEV-C,42.57,0.416,ok
DEV-D,38.43,0.805,ok
DEV-C,37.17,0.603,ok
DEV-A,35.79,0.634,ok
DEV-B,47.95,2.509,fault
DEV-D,26.69,0.202,ok
DEV-E,50.95,1.417,ok
DEV-E,39.58,0.041,ok
DEV-E,45.71,0.344,ok
DEV-A,33.87,0.829,ok
DEV-B,36.32,0.642,ok
DEV-B,44.66,0.067,ok
DEV-E,26.16,0.242,ok
DEV-B,42.97,0.575,ok
DEV-B,43.1,0.803,ok
DEV-B,44.88,2.505,fault
DEV-C,38.82,0.725,ok
DEV-B,36.98,0.179,ok
DEV-E,30.87,0.066,ok
DEV-D,41.52,0.625,ok
DEV-C,33.92,0.482,ok
DEV-D,23.19,0.463,ok
DEV-E,56.11,1.12,ok
DEV-D,40.76,0.056,ok
DEV-B,44.54,0.001,ok
DEV-C,47.22,0.496,ok
DEV-E,35.26,0.193,ok
DEV-D,40.26,0.666,ok
DEV-D,43.67,0.245,ok
DEV-C,45.96,0.086,ok
DEV-A,38.67,0.186,ok
DEV-E,47.36,1.26,ok
DEV-E,46.15,0.167,ok
DEV-B,32.53,0.122,ok
DEV-E,41.35,1.068,ok
DEV-A,32.6,0.326,ok
DEV-A,37.66,0.666,ok
DEV-E,48.42,0.202,ok
DEV-A,45.54,0.259,ok
DEV-E,21.6,0.196,ok
DEV-E,39.83,0.159,ok
DEV-B,40.85,0.232,ok
DEV-A,40.53,0.274,ok
DEV-B,47.54,0.092,ok
DEV-B,37.36,2.041,fault
DEV-C,44.06,0.761,ok
DEV-D,35.6,0.432,ok
DEV-D,49.11,2.375,fault
DEV-A,30.44,0.161,ok
DEV-A,48.1,0.415,ok
DEV-D,32.36,0.092,ok
DEV-B,29.83,0.36,ok
DEV-B,49.96,0.589,ok
DEV-E,36.74,0.071,ok
DEV-C,37.91,0.248,ok
DEV-C,38.38,0.649,ok
DEV-D,31.17,0.0,ok
DEV-B,33.71,0.898,ok
DEV-B,45.34,0.4,ok
DEV-A,27.95,1.125,ok
DEV-D,28.27,0.149,ok
DEV-D,44.63,0.514,ok
DEV-A,37.9,1.056,ok
DEV-A,38.05,0.578,ok
DEV-A,39.78,0.681,ok
DEV-B,48.07,0.42,ok
DEV-B,32.83,1.303,ok
DEV-A,35.18,0.6,ok
DEV-D,47.62,0.119,ok
DEV-B,44.33,0.262,ok
DEV-E,35.17,0.604,ok
DEV-C,46.31,0.197,ok
DEV-C,49.79,0.167,ok
DEV-C,44.86,0.022,ok
DEV-B,45.79,0.528,ok
DEV-E,35.87,0.455,ok
DEV-E,47.72,0.226,ok
DEV-B,51.26,1.461,ok
DEV-E,33.51,0.088,ok
DEV-C,34.24,0.418,ok
DEV-C,56.19,1.235,ok
DEV-B,31.3,0.693,ok
DEV-C,52.1,1.226,ok
DEV-C,46.07,0.639,ok
DEV-D,38.99,0.002,ok
DEV-A,39.8,0.323,ok
DEV-D,44.91,0.041,ok
DEV-B,51.37,1.373,ok
DEV-A,35.39,0.422,ok
DEV-B,43.81,1.04,ok
DEV-D,30.58,0.113,ok
DEV-A,45.34,0.545,ok
DEV-D,38.63,0.494,ok
DEV-C,37.58,0.007,ok
DEV-D,26.66,1.05,ok
DEV-C,55.54,1.288,ok
DEV-E,42.73,0.631,ok
DEV-C,48.12,0.864,ok
DEV-D,38.63,0.583,ok
DEV-A,42.4,0.294,ok
DEV-D,53.75,1.038,ok
DEV-C,52.08,2.184,fault
DEV-E,50.41,1.31,ok
DEV-D,31.77,0.054,ok
DEV-C,45.59,1.279,ok
DEV-C,35.72,0.171,ok
DEV-D,45.89,0.168,ok
DEV-C,50.3,0.856,ok
DEV-B,36.79,0.026,ok
DEV-A,40.22,0.01,ok
DEV-E,30.06,0.247,ok
DEV-E,30.88,0.545,ok
DEV-D,35.06,0.807,ok
DEV-C,42.45,0.87,ok
DEV-D,44.54,1.407,ok
DEV-C,43.07,0.039,ok
DEV-E,50.4,1.304,ok
DEV-C,38.67,0.929,ok
DEV-B,53.96,1.513,fault
DEV-A,50.15,1.461,ok
DEV-C,49.05,2.374,fault
DEV-E,31.71,0.055,ok
DEV-D,38.8,0.159,ok
DEV-D,41.54,1.186,ok
DEV-C,35.37,0.095,ok
DEV-E,42.72,1.304,ok
DEV-D,28.69,0.413,ok
DEV-D,43.01,1.287,ok
DEV-D,42.27,0.64,ok
DEV-B,30.23,0.964,ok
DEV-E,38.17,0.604,ok
DEV-A,48.26,0.293,ok
DEV-A,36.43,1.534,fault
DEV-B,42.18,0.053,ok
DEV-D,36.99,0.361,ok
DEV-D,40.97,0.106,ok
DEV-D,43.8,1.863,fault
DEV-A,43.36,0.703,ok
DEV-B,35.9,1.71,fault
DEV-E,28.15,0.127,ok
DEV-C,39.53,0.158,ok
DEV-E,41.49,0.081,ok
DEV-B,37.01,1.91,fault
DEV-B,15.51,0.036,ok
DEV-C,40.43,0.604,ok
DEV-C,50.92,1.083,ok
DEV-A,48.03,0.12,ok
DEV-A,36.78,0.384,ok
DEV-D,48.42,0.472,ok
DEV-A,40.17,1.186,ok
DEV-D,37.99,0.214,ok
DEV-D,45.61,1.903,fault
DEV-C,48.79,0.959,ok
DEV-C,43.86,0.476,ok
DEV-C,51.05,0.819,ok
DEV-E,43.31,0.232,ok
DEV-E,36.83,1.191,ok
DEV-C,38.91,0.957,ok
DEV-D,46.34,0.338,ok
DEV-E,27.67,0.62,ok
DEV-C,51.43,4.198,fault
DEV-E,40.34,0.05,ok
DEV-D,35.75,0.406,ok
DEV-B,38.19,0.449,ok
DEV-D,45.37,1.427,ok
DEV-D,41.64,0.034,ok
DEV-C,38.21,0.218,ok
DEV-E,27.82,0.392,ok
DEV-C,35.97,0.963,ok
DEV-E,35.38,0.589,ok
DEV-D,37.75,0.134,ok
DEV-D,29.97,1.541,fault
DEV-E,40.58,0.538,ok
DEV-A,26.09,0.904,ok
DEV-C,48.08,0.685,ok
DEV-B,41.52,1.695,fault
DEV-B,34.35,0.049,ok
DEV-C,38.77,0.183,ok
DEV-C,49.63,0.606,ok
DEV-A,54.98,1.236,ok
DEV-E,35.49,0.239,ok
DEV-B,31.27,1.04,ok
DEV-B,46.98,2.278,fault
DEV-D,35.66,1.675,fault
DEV-E,35.11,0.333,ok
DEV-D,51.17,0.815,ok
DEV-D,41.72,0.808,ok
DEV-B,41.21,0.135,ok
DEV-B,40.73,0.511,ok
DEV-E,36.77,0.921,ok
DEV-C,35.31,0.51,ok
DEV-C,31.57,0.086,ok
DEV-A,46.4,0.902,ok
DEV-B,48.2,0.435,ok
DEV-A,34.1,0.165,ok
DEV-D,34.07,0.01,ok
DEV-C,39.29,0.062,ok
DEV-B,42.06,0.969,ok
DEV-C,40.91,0.254,ok
DEV-D,44.94,0.224,ok
DEV-C,58.48,1.033,ok
DEV-B,34.81,1.033,ok
DEV-D,43.24,0.51,ok
DEV-C,47.3,0.725,ok
DEV-E,48.13,0.064,ok
DEV-B,48.47,0.085,ok
DEV-B,33.2,0.65,ok
DEV-D,27.53,0.177,ok
DEV-B,30.05,0.226,ok
DEV-B,35.09,0.226,ok
DEV-B,39.4,0.442,ok
DEV-A,47.69,0.284,ok
DEV-A,41.56,0.381,ok
DEV-B,42.39,0.192,ok
DEV-C,49.75,0.054,ok
DEV-A,53.24,2.164,fault
DEV-D,44.25,0.367,ok
DEV-C,34.97,0.538,ok
DEV-D,37.69,1.885,fault
DEV-D,26.74,0.008,ok
DEV-B,59.1,0.916,ok
DEV-A,41.61,0.64,ok
DEV-E,42.59,0.288,ok
DEV-C,38.09,1.01,ok
DEV-D,57.9,1.304,ok
DEV-D,53.73,1.307,ok
DEV-D,50.52,1.166,ok
DEV-E,35.69,0.542,ok
DEV-C,38.88,3.899,fault
DEV-C,51.82,0.826,ok
DEV-A,54.81,0.914,ok
DEV-B,33.89,1.116,ok
DEV-B,30.65,0.368,ok
DEV-A,36.42,0.253,ok
DEV-D,40.62,0.364,ok
DEV-D,34.35,0.734,ok
DEV-E,36.79,0.268,ok
DEV-E,30.41,0.014,ok
DEV-E,33.26,0.076,ok
DEV-E,58.63,1.45,ok
DEV-A,32.46,0.05,ok
DEV-D,38.17,0.338,ok
DEV-C,37.09,0.683,ok
DEV-A,42.67,5.442,fault
DEV-B,38.59,0.519,ok
DEV-A,51.27,0.896,ok
DEV-E,42.08,0.558,ok
DEV-C,44.62,0.208,ok
DEV-B,37.35,0.391,ok
DEV-C,49.41,0.39,ok
DEV-E,39.97,1.215,ok
DEV-E,22.58,0.476,ok
DEV-A,38.87,0.032,ok
DEV-A,41.89,0.079,ok
DEV-B,40.34,0.033,ok
DEV-A,34.28,1.053,ok
DEV-C,49.52,0.004,ok
DEV-D,45.11,0.493,ok
DEV-A,53.65,1.159,ok
DEV-E,41.12,0.364,ok
DEV-B,26.54,1.016,ok
DEV-B,54.91,1.359,ok
DEV-C,56.47,1.519,fault
DEV-D,53.59,0.985,ok
DEV-D,45.52,0.68,ok
DEV-E,40.29,0.173,ok
DEV-E,40.21,0.145,ok
DEV-A,41.2,0.465,ok
DEV-D,36.85,0.431,ok
DEV-E,55.61,2.696,fault
DEV-A,62.38,1.275,ok
DEV-D,46.38,0.416,ok
DEV-A,38.06,0.842,ok
DEV-D,50.48,1.008,ok
DEV-A,40.61,1.782,fault
DEV-A,38.79,1.728,fault
DEV-D,50.87,2.574,fault
DEV-E,35.06,0.885,ok
DEV-C,45.06,0.047,ok
DEV-B,55.62,1.177,ok
DEV-C,43.66,0.198,ok
DEV-E,41.17,1.297,ok
DEV-D,52.96,1.32,ok
DEV-A,33.47,0.814,ok
DEV-C,43.17,0.801,ok
DEV-D,35.31,0.336,ok
DEV-E,38.14,0.116,ok
DEV-A,32.91,0.783,ok
DEV-E,40.25,1.668,fault
DEV-D,49.48,0.058,ok
DEV-E,56.63,0.877,ok
DEV-B,42.62,0.342,ok
DEV-E,35.65,0.131,ok
DEV-B,47.77,0.171,ok
DEV-C,28.72,1.036,ok
DEV-D,38.37,0.645,ok
DEV-B,37.24,0.008,ok
DEV-A,46.72,0.001,ok
DEV-D,46.33,0.516,ok
DEV-E,37.17,0.077,ok
DEV-B,42.24,0.469,ok
DEV-C,28.09,0.772,ok
DEV-D,37.2,0.392,ok
DEV-D,34.07,1.31,ok
DEV-E,40.45,1.414,ok
DEV-D,28.45,0.049,ok
DEV-E,34.47,1.639,fault
DEV-E,41.45,0.979,ok
DEV-C,44.45,0.115,ok
DEV-B,58.65,1.991,fault
DEV-D,39.38,0.098,ok
DEV-C,46.23,0.431,ok
DEV-E,24.29,0.007,ok
DEV-A,60.52,1.134,ok
DEV-D,40.91,0.49,ok
DEV-C,45.31,0.167,ok
DEV-A,37.98,0.54,ok
DEV-C,61.74,2.61,fault
DEV-A,50.53,0.995,ok
DEV-D,39.63,0.037,ok
DEV-B,43.66,1.393,ok
DEV-B,44.94,0.045,ok
DEV-B,40.19,0.08,ok
DEV-D,47.87,1.072,ok
DEV-A,41.22,0.03,ok
DEV-C,36.74,1.794,fault
DEV-D,38.87,0.438,ok
DEV-D,27.97,0.367,ok
DEV-A,35.25,0.399,ok
DEV-B,32.84,0.219,ok
DEV-E,52.25,0.869,ok
DEV-E,52.08,1.276,ok
DEV-B,44.81,0.0,ok
DEV-B,46.0,1.464,ok
DEV-D,49.37,3.698,fault
DEV-D,30.7,0.141,ok
DEV-A,46.12,0.395,ok
DEV-E,27.57,1.987,fault
DEV-E,33.59,0.408,ok
DEV-D,36.33,0.703,ok
DEV-E,37.9,0.822,ok
DEV-A,33.13,0.625,ok
DEV-D,41.78,0.381,ok
DEV-D,47.18,0.24,ok
DEV-D,38.56,0.734,ok
DEV-E,39.28,0.839,ok
DEV-D,46.26,0.343,ok
DEV-C,41.18,0.127,ok
DEV-D,44.02,0.424,ok
DEV-B,41.23,0.054,ok
DEV-C,37.8,0.896,ok
DEV-A,38.69,0.015,ok
DEV-C,42.6,0.128,ok
DEV-C,39.58,0.144,ok
DEV-C,50.36,1.09,ok
DEV-C,38.49,0.214,ok
DEV-D,41.27,2.002,fault
DEV-E,28.92,0.008,ok
DEV-A,38.62,0.457,ok
DEV-E,45.14,1.346,ok
DEV-C,37.56,0.197,ok
DEV-C,31.69,0.835,ok
DEV-E,39.18,0.056,ok
DEV-D,45.35,0.209,ok
DEV-A,45.23,0.4,ok
DEV-B,38.77,1.316,ok
DEV-D,36.14,1.024,ok
DEV-B,49.74,1.447,ok
DEV-E,41.94,1.046,ok
DEV-C,47.13,0.277,ok
DEV-B,45.49,0.137,ok
DEV-B,34.73,0.903,ok
DEV-A,45.7,0.437,ok
DEV-A,47.04,0.754,ok
DEV-E,56.97,1.743,fault
DEV-E,29.35,2.478,fault
DEV-A,25.35,0.352,ok
DEV-E,36.38,0.504,ok
DEV-B,48.35,0.68,ok
DEV-C,40.7,0.213,ok
DEV-B,43.13,0.502,ok
DEV-E,60.04,1.659,fault
DEV-D,39.76,0.228,ok
DEV-A,40.32,0.228,ok
DEV-C,29.75,0.668,ok
DEV-C,36.8,0.278,ok
DEV-D,32.53,1.252,ok
DEV-B,36.5,0.92,ok
DEV-C,36.36,3.768,fault
DEV-C,24.47,0.636,ok
DEV-E,57.25,1.017,ok
DEV-C,48.73,2.338,fault
DEV-C,43.02,0.043,ok
DEV-A,36.35,0.133,ok
DEV-D,41.34,0.973,ok
DEV-B,47.87,0.315,ok
DEV-D,42.6,0.261,ok
DEV-B,36.4,0.187,ok
DEV-C,39.63,0.121,ok
DEV-D,60.73,1.164,ok
DEV-E,45.01,0.295,ok
DEV-E,48.49,0.115,ok
DEV-E,42.74,0.268,ok
DEV-A,44.16,2.048,fault
DEV-A,36.78,0.931,ok
DEV-B,38.28,0.119,ok
DEV-D,37.78,0.426,ok
DEV-B,35.61,1.288,ok
DEV-D,48.05,0.718,ok
DEV-A,43.53,0.695,ok
DEV-A,39.68,0.979,ok
DEV-A,36.83,0.691,ok
DEV-A,29.88,1.851,fault
DEV-D,32.4,0.509,ok
DEV-B,42.0,1.525,fault
DEV-B,41.37,1.0,ok
DEV-A,37.27,1.426,ok
DEV-C,47.38,0.264,ok
DEV-D,42.22,0.17,ok
DEV-D,42.92,0.071,ok
DEV-C,50.87,0.804,ok
DEV-C,42.53,0.499,ok
DEV-E,40.2,0.742,ok
DEV-C,42.23,0.063,ok
DEV-E,37.83,0.16,ok
DEV-A,28.96,0.594,ok
DEV-A,46.19,0.164,ok
DEV-A,47.81,0.055,ok
DEV-A,38.26,0.508,ok
DEV-B,37.73,0.006,ok
DEV-D,38.82,2.107,fault
DEV-A,35.09,0.927,ok
DEV-B,45.78,0.322,ok
DEV-A,47.39,0.081,ok
DEV-E,47.56,0.386,ok
DEV-E,38.76,0.216,ok
DEV-A,46.24,1.31,ok
DEV-C,49.69,0.945,ok
DEV-B,48.12,0.444,ok
DEV-A,31.7,0.004,ok
DEV-D,38.76,0.48,ok
DEV-E,33.05,1.997,fault
DEV-A,34.12,1.177,ok
DEV-E,30.03,1.848,fault
DEV-D,36.91,2.93,fault
DEV-C,31.91,0.717,ok
DEV-B,42.19,0.37,ok
DEV-E,32.85,0.231,ok
DEV-E,49.62,1.105,ok
DEV-D,36.28,0.107,ok
DEV-C,47.68,0.892,ok
DEV-A,48.22,0.257,ok
DEV-E,46.92,0.779,ok
DEV-B,36.32,0.761,ok
DEV-D,35.5,0.264,ok
DEV-D,36.09,0.177,ok
DEV-B,36.03,0.326,ok
DEV-A,32.33,0.26,ok
DEV-E,50.36,1.219,ok
DEV-E,56.87,1.453,ok
DEV-A,39.87,0.122,ok
DEV-B,45.06,0.11,ok
DEV-B,33.15,0.659,ok
DEV-D,43.19,0.062,ok
DEV-E,46.23,0.07,ok
DEV-C,37.8,0.273,ok
DEV-C,51.64,3.273,fault
DEV-A,45.41,0.006,ok
DEV-A,46.75,0.331,ok
DEV-E,44.82,0.115,ok
DEV-C,45.44,0.149,ok
DEV-B,46.49,0.939,ok
DEV-A,42.3,0.687,ok
DEV-C,57.17,1.396,ok
DEV-C,36.15,0.932,ok
DEV-B,41.85,0.632,ok
DEV-B,28.27,0.453,ok
DEV-A,40.1,1.87,fault
DEV-A,26.91,0.131,ok
DEV-E,46.28,0.992,ok
DEV-B,49.16,0.863,ok
DEV-D,43.96,0.331,ok
DEV-B,57.44,0.927,ok
DEV-C,46.64,0.619,ok
DEV-D,31.39,0.031,ok
DEV-E,41.87,0.995,ok
DEV-C,35.84,1.489,ok
DEV-E,37.65,1.394,ok
DEV-C,31.7,1.464,ok
DEV-B,42.25,0.674,ok
DEV-D,47.26,0.927,ok
DEV-A,41.26,0.418,ok
DEV-A,43.19,0.269,ok
DEV-D,61.73,1.04,ok
DEV-D,31.04,0.093,ok
DEV-D,40.95,0.286,ok
DEV-B,36.55,0.22,ok
DEV-E,36.85,0.512,ok
DEV-E,41.54,0.296,ok
DEV-A,32.06,0.166,ok
DEV-C,29.29,0.197,ok
DEV-E,44.94,0.076,ok
DEV-D,43.62,0.695,ok
DEV-C,33.85,1.152,ok
DEV-A,40.96,0.459,ok
DEV-E,45.7,0.427,ok
DEV-D,33.76,0.027,ok
DEV-C,40.36,0.048,ok
DEV-C,35.42,0.259,ok
DEV-E,44.53,1.374,ok
DEV-E,41.2,0.895,ok
DEV-A,43.39,0.212,ok
DEV-D,55.65,1.935,fault
DEV-A,30.04,0.436,ok
DEV-E,41.61,0.229,ok
DEV-B,41.02,1.105,ok
DEV-A,47.69,0.872,ok
DEV-C,51.41,0.817,ok
DEV-B,49.19,0.277,ok
DEV-C,49.24,0.065,ok
DEV-B,46.07,0.249,ok
DEV-C,40.62,0.056,ok
DEV-D,40.58,0.686,ok
DEV-C,40.02,1.757,fault
DEV-D,30.94,3.442,fault
DEV-A,28.11,0.155,ok
DEV-D,38.97,0.074,ok
DEV-C,42.85,1.414,ok
DEV-A,41.91,0.788,ok
DEV-C,33.83,0.468,ok
DEV-B,45.64,0.799,ok
DEV-B,41.32,0.165,ok
DEV-A,54.78,2.01,fault
DEV-A,38.07,0.52,ok
DEV-E,40.82,0.027,ok
DEV-A,45.93,0.612,ok
DEV-C,22.36,0.063,ok
DEV-C,45.76,0.589,ok
DEV-E,54.93,1.488,ok
DEV-D,25.11,0.406,ok
DEV-C,34.72,0.132,ok
DEV-A,44.34,0.313,ok
DEV-A,51.71,1.079,ok
DEV-E,53.1,0.881,ok
DEV-B,43.43,0.359,ok
DEV-E,37.61,0.613,ok
DEV-D,52.66,0.831,ok
DEV-A,38.02,0.699,ok
DEV-C,42.73,3.288,fault
DEV-E,43.99,0.837,ok
DEV-C,39.59,0.091,ok
DEV-A,42.71,0.57,ok
DEV-B,40.79,0.034,ok
DEV-A,40.98,0.072,ok
DEV-E,51.63,0.956,ok
DEV-E,36.93,0.735,ok
DEV-A,40.58,0.031,ok
DEV-C,46.57,0.152,ok
DEV-E,42.14,0.634,ok
DEV-C,40.07,0.507,ok
DEV-B,40.66,1.553,fault
DEV-D,36.85,0.919,ok
DEV-E,36.84,0.038,ok
DEV-A,29.09,0.124,ok
DEV-B,28.95,0.294,ok
DEV-C,28.94,0.474,ok
DEV-A,30.83,1.165,ok
DEV-A,52.84,1.57,fault
DEV-A,37.3,1.774,fault
DEV-C,26.34,0.384,ok
DEV-A,47.77,0.743,ok
DEV-B,35.55,0.285,ok
DEV-B,40.56,0.138,ok
DEV-B,40.65,0.052,ok
DEV-E,43.73,0.848,ok
DEV-E,47.42,1.242,ok
DEV-D,34.68,2.888,fault
DEV-E,34.35,0.333,ok
DEV-A,52.26,1.985,fault
DEV-D,48.38,0.005,ok
DEV-B,49.61,0.398,ok
DEV-D,43.38,1.465,ok
DEV-C,37.2,0.67,ok
DEV-C,32.43,0.168,ok
DEV-B,46.78,0.273,ok
DEV-A,55.79,3.119,fault
DEV-E,52.13,2.018,fault
DEV-A,35.01,0.189,ok
DEV-D,38.91,0.854,ok
DEV-B,40.88,1.105,ok
DEV-A,42.86,0.67,ok
DEV-B,43.02,0.14,ok
DEV-E,40.04,0.6,ok
DEV-C,35.61,1.184,ok
DEV-C,33.08,0.064,ok
DEV-B,35.71,1.715,fault
DEV-D,42.74,0.301,ok
DEV-C,36.04,1.651,fault
DEV-A,41.75,0.487,ok
DEV-A,42.77,0.973,ok
DEV-D,38.08,0.571,ok
DEV-C,37.72,0.149,ok
DEV-D,33.83,1.627,fault
DEV-B,48.14,0.482,ok
DEV-C,40.28,0.344,ok
DEV-A,32.83,0.317,ok
DEV-B,36.88,0.686,ok
DEV-C,32.94,1.102,ok
DEV-C,40.68,0.158,ok
DEV-E,41.18,1.447,ok
DEV-B,36.35,1.781,fault
DEV-A,35.84,1.0,ok
DEV-E,35.27,1.126,ok
DEV-A,37.17,0.033,ok
DEV-A,37.55,0.094,ok
DEV-C,34.49,0.451,ok
DEV-A,48.57,0.232,ok
DEV-B,47.39,0.649,ok
DEV-B,46.89,0.805,ok
DEV-E,37.6,0.412,ok
DEV-D,47.21,1.309,ok
DEV-D,53.18,2.466,fault
DEV-E,43.35,0.166,ok
DEV-D,34.33,0.308,ok
DEV-B,48.86,1.038,ok
DEV-D,54.16,1.235,ok
DEV-A,49.55,0.925,ok
DEV-A,48.5,0.961,ok
DEV-C,49.2,0.871,ok
DEV-A,46.07,0.1,ok
DEV-E,39.47,0.738,ok
DEV-A,38.25,1.766,fault
DEV-B,43.27,0.638,ok
DEV-C,47.31,2.112,fault
DEV-B,40.16,0.151,ok
DEV-A,35.1,0.65,ok
DEV-E,37.16,0.125,ok
DEV-E,49.23,2.718,fault
DEV-C,30.29,0.174,ok
DEV-A,45.59,0.302,ok
DEV-E,26.12,0.567,ok
DEV-E,40.17,0.749,ok
