region,unit_price_kron,units_sold,discount_frac,revenue_kron
Borvik,8.43,0,0.194,0.0
Aurelia,36.29,8,0.226,224.71
Aurelia,31.19,2,0.259,46.22
Cyndara,161.82,21,0.213,2674.4
Aurelia,22.52,1,0.357,14.48
Cyndara,95.49,10,0.611,371.46
Aurelia,32.84,1,0.469,17.44
Borvik,46.42,5,0.17,192.64
Cyndara,19.05,2,0.378,23.7
Aurelia,67.05,8,0.181,439.31
Borvik,63.92,8,0.211,403.46
Cyndara,14.02,2,0.296,19.74
Aurelia,17.11,5,,42.35
Drostal,23.71,0,0.083,0.0
Aurelia,12.71,1,0.465,6.8
Cyndara,87.26,11,0.209,759.25
Cyndara,8.24,1,0.198,6.61
Borvik,95.95,9,0.144,739.2
Aurelia,110.66,9,0.51,488.01
Drostal,61.48,4,0.397,148.29
Aurelia,104.84,9,0.111,838.82
Aurelia,18.52,0,0.372,0.0
Drostal,13.56,1,0.551,6.09
Borvik,31.12,2,0.218,48.67
Cyndara,9.73,0,0.21,0.0
Aurelia,70.1,4,0.555,124.78
Cyndara,10.72,3,0.174,26.56
Drostal,67.25,2,0.319,91.59
Borvik,78.59,9,0.213,556.65
Aurelia,33.34,2,0.277,48.21
Aurelia,69.27,7,,391.31
Aurelia,47.44,4,0.075,175.53
Cyndara,52.37,8,0.238,319.25
Borvik,26.67,1,0.222,20.75
Borvik,29.98,1,0.127,26.17
Borvik,119.49,11,0.541,603.31
Borvik,27.8,2,0.483,28.75
Aurelia,94.46,10,0.058,889.81
Borvik,109.74,5,0.635,200.28
Borvik,8.88,0,0.357,0.0
Aurelia,124.79,14,0.232,1341.74
Borvik,18.87,4,0.135,65.29
Aurelia,41.29,9,0.474,195.47
Borvik,27.54,7,0.423,111.23
Cyndara,99.86,12,0.1,1078.49
Cyndara,12.5,1,0.306,8.67
Drostal,25.23,2,0.194,40.67
Cyndara,54.72,2,0.209,86.57
Aurelia,78.62,8,0.303,438.39
Cyndara,18.9,0,0.666,0.0
Aurelia,37.63,1,0.09,34.24
Aurelia,17.41,1,0.321,11.82
Borvik,143.65,23,0.238,2517.61
Borvik,41.37,7,0.65,101.36
Cyndara,40.12,4,0.208,127.1
Borvik,45.44,5,0.083,208.34
Borvik,52.97,2,0.047,100.96
Borvik,69.37,5,0.38,215.05
Borvik,30.72,1,0.2,24.58
Cyndara,98.22,7,0.641,246.83
Cyndara,46.37,4,,150.8
Drostal,52.91,7,0.336,245.93
Aurelia,63.55,1,0.098,57.32
Cyndara,15.48,0,0.198,0.0
Cyndara,21.84,6,0.31,90.42
Cyndara,24.38,2,,11.99
Aurelia,12.66,0,0.343,0.0
Cyndara,88.57,4,,331.61
Borvik,10.87,2,0.321,14.76
Aurelia,5.15,0,0.215,0.0
Aurelia,180.75,27,0.243,3694.35
Cyndara,58.54,7,0.196,329.46
Aurelia,42.52,2,0.332,56.81
Borvik,31.78,1,0.067,29.65
Aurelia,109.98,14,,643.6
Aurelia,13.1,2,0.567,11.34
Cyndara,10.06,2,0.206,15.98
Aurelia,86.88,11,0.123,838.13
Aurelia,88.34,15,0.167,1103.81
Borvik,28.76,3,0.509,42.36
Cyndara,164.06,20,0.036,3163.08
Aurelia,62.2,5,0.131,270.26
Aurelia,31.24,1,0.043,29.9
Borvik,17.79,2,0.121,31.27
Borvik,19.04,4,0.266,55.9
Cyndara,41.04,2,0.145,70.18
Aurelia,9.04,1,0.623,3.41
Borvik,48.35,2,0.359,61.98
Aurelia,63.14,5,,183.74
Aurelia,14.64,2,0.593,11.92
Borvik,14.18,4,0.26,41.97
Aurelia,16.39,0,0.286,0.0
Drostal,68.76,7,0.326,324.41
Aurelia,38.5,1,0.555,17.13
Borvik,141.07,11,0.188,1260.04
Aurelia,32.5,3,0.186,79.37
Cyndara,18.6,3,0.426,32.03
Borvik,37.83,4,0.227,116.97
Borvik,46.12,3,0.07,128.67
Borvik,78.05,5,0.563,170.54
Drostal,6.05,1,0.236,4.62
Borvik,111.41,8,0.16,748.68
Cyndara,39.15,2,0.272,57.0
Aurelia,60.68,2,0.181,99.39
Borvik,29.4,4,0.149,100.08
Borvik,127.11,11,0.322,947.99
Borvik,42.32,2,0.074,78.38
Borvik,5.13,1,0.367,3.25
Aurelia,146.2,13,0.381,1176.47
Aurelia,21.19,4,0.31,58.48
Borvik,61.06,3,0.641,65.76
Cyndara,24.42,3,0.275,53.11
Drostal,81.71,7,0.295,403.24
Borvik,178.38,17,0.17,2516.94
Aurelia,16.57,2,0.375,20.71
Aurelia,162.28,15,0.233,1867.03
Drostal,67.44,6,0.524,192.61
Borvik,91.21,13,,881.0
Aurelia,83.64,10,0.547,378.89
Borvik,76.57,7,0.138,462.02
Borvik,109.69,10,0.384,675.69
Borvik,44.65,4,0.359,114.48
Drostal,37.8,1,0.15,32.13
Drostal,16.91,1,0.23,13.02
Cyndara,42.57,2,0.483,44.02
Aurelia,6.64,0,0.114,0.0
Drostal,65.22,6,0.364,248.88
Cyndara,60.44,4,0.245,182.53
Aurelia,53.7,11,0.213,464.88
Borvik,24.08,2,0.34,31.79
Borvik,41.82,9,0.584,156.57
Aurelia,15.19,0,0.202,0.0
Aurelia,102.44,8,,634.31
Cyndara,37.94,3,0.258,84.45
Borvik,21.19,2,0.265,31.15
Cyndara,79.75,9,0.275,520.37
Aurelia,74.28,10,0.199,594.98
Cyndara,24.79,1,0.206,19.68
Aurelia,60.23,6,0.467,192.62
Borvik,15.6,2,0.175,25.74
Aurelia,24.29,3,0.142,62.52
Aurelia,6.77,1,0.392,4.12
Borvik,43.63,2,0.116,77.14
Borvik,79.59,9,0.063,671.18
Aurelia,71.87,6,0.069,401.47
Borvik,17.77,1,0.247,13.38
Aurelia,165.21,13,0.161,1801.95
Aurelia,29.6,2,0.403,35.34
Borvik,70.19,9,0.256,469.99
Aurelia,62.84,5,0.143,269.27
Borvik,125.62,12,0.189,1222.53
Borvik,131.13,13,0.266,1251.24
Aurelia,58.05,5,0.457,157.61
Aurelia,41.38,2,0.222,64.39
Aurelia,21.14,2,0.234,32.39
Aurelia,77.93,8,0.095,564.21
Cyndara,7.3,0,0.298,0.0
Drostal,130.9,15,0.487,1007.28
Borvik,9.6,0,0.503,0.0
Aurelia,6.28,0,,0.0
Aurelia,48.95,1,0.066,45.72
Cyndara,57.02,13,0.442,413.62
Cyndara,86.12,6,0.419,300.21
Cyndara,44.85,4,,139.21
Aurelia,7.38,0,0.084,0.0
Aurelia,79.04,3,0.233,181.87
Cyndara,166.67,18,0.089,2733.05
Aurelia,46.12,5,0.38,142.97
Aurelia,115.93,6,0.237,530.73
Aurelia,42.15,5,0.292,149.21
Borvik,18.39,1,0.276,13.31
Cyndara,30.36,4,0.135,105.05
Borvik,57.06,6,0.104,306.75
Borvik,89.0,12,0.362,681.38
Cyndara,82.77,9,0.272,542.31
Cyndara,18.91,1,0.345,12.39
Cyndara,36.49,6,0.121,192.45
Borvik,87.16,9,0.379,487.14
Aurelia,20.68,8,,115.15
Aurelia,50.14,4,0.6,80.22
Borvik,15.71,1,0.391,9.57
Borvik,125.79,14,0.538,813.61
Borvik,16.49,3,0.444,27.51
Aurelia,32.55,4,0.505,64.45
Drostal,101.17,11,0.283,797.93
Cyndara,81.18,6,0.414,285.43
Aurelia,32.03,3,0.234,73.6
Drostal,46.42,5,0.128,202.39
Aurelia,46.99,5,0.202,187.49
Borvik,51.33,2,0.356,66.11
Borvik,50.23,5,0.39,153.2
Cyndara,13.93,1,0.228,10.75
Aurelia,81.53,11,0.781,196.41
Drostal,36.31,3,0.066,101.74
Borvik,151.59,16,0.332,1620.19
Aurelia,12.18,1,0.172,10.09
Aurelia,29.87,5,0.271,108.88
Cyndara,43.28,4,0.287,123.43
Aurelia,57.71,9,0.226,402.01
Borvik,34.63,3,0.106,92.88
Aurelia,21.56,8,0.209,136.43
Aurelia,69.17,7,0.101,435.29
Borvik,56.35,4,0.247,169.73
Aurelia,127.07,24,0.069,2839.25
Borvik,52.36,7,0.493,185.83
Cyndara,35.33,2,0.42,40.98
Aurelia,35.18,1,0.34,23.22
Borvik,55.65,11,0.423,353.21
Borvik,27.52,3,0.347,53.91
Cyndara,38.31,1,0.662,12.95
Drostal,27.62,2,0.064,51.7
Drostal,40.97,4,0.202,130.78
Drostal,17.67,2,0.492,17.95
Borvik,23.42,3,0.25,52.7
Aurelia,15.1,1,,10.74
Aurelia,45.18,5,0.302,157.68
Aurelia,33.84,5,0.268,123.85
Drostal,71.45,5,0.461,192.56
Borvik,36.43,5,0.755,44.63
Borvik,33.53,2,0.37,42.25
Borvik,110.08,14,0.179,1265.26
Borvik,18.19,0,0.31,0.0
Cyndara,15.8,0,0.243,0.0
Aurelia,4.78,1,,3.66
Cyndara,32.73,7,0.507,112.95
Aurelia,61.33,3,0.227,142.22
Aurelia,25.17,7,0.243,133.38
Aurelia,61.44,1,0.017,60.4
Aurelia,58.52,1,0.413,34.35
Cyndara,24.75,3,0.318,50.64
Borvik,37.41,4,0.325,101.01
Aurelia,7.93,1,0.365,5.04
Drostal,13.28,0,0.171,0.0
Aurelia,30.22,7,0.262,156.12
Aurelia,84.01,13,0.303,761.21
Aurelia,50.49,2,0.231,77.65
Cyndara,14.43,1,0.096,13.04
Aurelia,6.94,0,0.14,0.0
Aurelia,64.03,5,0.253,239.15
Aurelia,75.07,10,0.603,298.03
Aurelia,52.69,6,0.084,289.58
Aurelia,82.58,3,0.224,192.25
Cyndara,101.01,13,0.114,1163.43
Aurelia,34.05,2,0.278,49.17
Cyndara,189.42,18,0.08,3136.8
Aurelia,112.32,5,0.191,454.33
Borvik,49.73,6,0.408,176.64
Borvik,122.48,14,,1687.28
Borvik,49.11,5,0.08,225.91
Cyndara,15.96,1,0.174,13.18
Cyndara,55.83,6,0.228,258.6
Aurelia,87.25,7,0.143,523.41
Cyndara,61.35,3,0.267,134.91
Aurelia,81.32,14,0.163,952.91
Borvik,20.15,3,0.63,22.37
Borvik,52.76,4,0.397,127.26
Aurelia,25.27,3,0.216,59.44
Aurelia,85.48,11,0.18,771.03
Drostal,14.98,1,0.365,9.51
Aurelia,32.19,4,0.213,101.33
Borvik,61.09,3,0.263,135.07
Cyndara,31.04,4,0.068,115.72
Cyndara,27.14,2,0.149,46.19
Borvik,5.35,1,0.229,4.12
Aurelia,149.85,14,0.455,1143.36
Borvik,107.49,11,0.278,853.69
Cyndara,59.24,4,,174.88
Borvik,23.21,2,0.353,30.03
Cyndara,38.64,1,0.32,26.28
Borvik,47.89,5,0.094,216.94
Cyndara,66.88,9,0.47,319.02
Cyndara,15.25,4,0.047,58.13
Cyndara,63.79,6,0.496,192.9
Aurelia,44.71,4,,151.66
Cyndara,24.64,2,0.295,34.74
Cyndara,90.9,8,0.488,372.33
Borvik,32.34,2,0.191,52.33
Cyndara,129.36,13,0.309,1162.04
Borvik,17.41,4,0.193,56.2
Aurelia,62.47,6,,206.15
Borvik,66.45,6,0.078,367.6
Aurelia,127.5,7,0.355,575.66
Aurelia,114.68,10,0.155,969.05
Borvik,7.39,0,0.314,0.0
Aurelia,11.48,2,0.123,20.14
Borvik,82.51,8,0.377,411.23
Borvik,21.94,3,0.111,58.51
Aurelia,36.06,5,0.092,163.71
Cyndara,55.36,6,0.494,168.07
Cyndara,190.3,18,0.273,2490.27
Aurelia,79.6,4,0.155,269.05
Cyndara,87.9,10,0.159,739.24
Cyndara,65.29,11,0.482,372.02
Cyndara,67.88,7,0.168,395.33
Drostal,39.29,6,0.032,228.2
Cyndara,126.25,11,0.232,1066.56
Aurelia,8.81,0,0.755,0.0
Aurelia,28.17,0,0.107,0.0
Aurelia,107.67,14,0.012,1489.29
Cyndara,20.25,3,0.383,37.48
Borvik,35.61,6,0.48,111.1
Aurelia,76.26,7,0.473,281.32
Cyndara,20.09,3,0.108,53.76
Borvik,30.14,4,0.397,72.7
Aurelia,38.5,3,0.255,86.05
Drostal,20.32,2,0.06,38.2
Aurelia,52.98,5,0.178,217.75
Aurelia,32.2,3,0.36,61.82
Aurelia,73.09,7,0.128,446.14
Aurelia,69.86,6,0.342,275.81
Borvik,60.96,11,0.389,409.71
Cyndara,67.84,9,0.342,401.75
Aurelia,34.48,4,0.495,69.65
Cyndara,13.84,1,0.061,13.0
Drostal,23.09,1,0.151,19.6
Aurelia,34.55,4,0.41,81.54
Borvik,6.7,0,0.322,0.0
Aurelia,98.3,9,0.119,779.42
Cyndara,3.48,0,0.426,0.0
Drostal,13.26,0,0.204,0.0
Borvik,17.02,3,0.192,41.26
Aurelia,24.54,3,0.243,55.73
Aurelia,24.02,3,0.203,57.43
Cyndara,5.58,0,0.333,0.0
Cyndara,40.73,5,0.233,156.2
Borvik,76.14,7,0.101,479.15
Borvik,41.3,7,0.103,259.32
Aurelia,64.07,7,0.462,241.29
Borvik,47.01,5,0.155,198.62
Drostal,40.03,4,0.275,116.09
Drostal,45.2,2,0.242,68.52
Aurelia,36.66,1,0.096,33.14
Borvik,24.79,3,0.664,24.99
Aurelia,22.22,2,0.464,23.82
Borvik,28.38,4,0.168,94.45
Drostal,27.38,1,0.023,26.75
Borvik,79.0,10,0.353,511.13
Aurelia,16.89,2,0.45,18.58
Borvik,64.4,5,0.457,174.85
Borvik,45.22,2,0.278,65.3
Aurelia,41.15,6,0.311,170.11
Aurelia,57.88,4,0.505,114.6
Borvik,72.02,4,0.13,250.63
Aurelia,44.29,4,0.485,91.24
Cyndara,70.78,6,,355.88
Borvik,45.23,6,0.044,259.44
Aurelia,87.68,11,0.139,830.42
Cyndara,73.48,7,0.225,398.63
Borvik,100.06,8,0.035,772.46
Borvik,37.23,2,0.726,20.4
Borvik,56.2,8,0.35,292.24
Cyndara,18.91,3,0.087,51.79
Borvik,10.74,3,0.42,18.69
Borvik,50.68,6,0.154,257.25
Aurelia,11.67,0,0.085,0.0
Drostal,77.29,9,0.108,620.48
Borvik,19.31,6,0.483,59.9
Borvik,11.24,2,0.332,15.02
Cyndara,50.25,10,0.14,432.15
Aurelia,39.8,4,0.442,88.83
Drostal,8.74,0,0.355,0.0
Aurelia,33.0,4,0.183,107.84
Cyndara,70.65,4,0.28,203.47
Cyndara,96.18,10,0.199,770.4
Aurelia,57.29,9,0.389,315.04
Borvik,117.19,14,0.281,1179.63
Borvik,46.37,6,0.478,145.23
Borvik,52.32,5,,172.66
Borvik,17.68,2,,23.27
Cyndara,166.88,18,0.229,2315.96
Aurelia,57.51,4,0.373,144.24
Cyndara,31.35,3,0.09,85.59
Borvik,8.87,1,0.419,5.15
Aurelia,60.65,6,0.25,272.92
Borvik,37.9,3,0.627,42.41
Cyndara,28.4,1,0.095,25.7
Borvik,66.74,6,0.298,281.11
Aurelia,17.21,4,0.116,60.85
Borvik,54.99,4,0.274,159.69
Drostal,53.5,3,0.367,101.6
Aurelia,11.4,0,0.598,0.0
Borvik,47.39,11,0.177,429.02
Borvik,33.02,1,0.096,29.85
Cyndara,12.72,1,0.392,7.73
Borvik,94.05,12,0.387,691.83
Borvik,72.97,8,0.643,208.4
Aurelia,14.43,2,0.06,27.13
Aurelia,26.96,3,0.256,60.17
Aurelia,29.68,2,0.225,46.0
Drostal,60.67,7,0.157,358.01
Aurelia,93.96,15,0.372,885.1
Cyndara,85.45,8,0.081,628.23
Borvik,49.56,6,0.167,247.7
Cyndara,32.54,4,0.36,83.3
Borvik,72.71,4,0.121,255.65
Cyndara,29.21,3,0.372,55.03
Drostal,29.56,6,0.269,129.65
Aurelia,35.99,3,0.405,64.24
Borvik,20.16,1,0.42,11.69
Aurelia,34.04,4,0.413,79.93
Cyndara,77.22,9,0.192,561.54
Aurelia,64.76,10,,272.64
Aurelia,41.46,6,0.495,125.62
Cyndara,6.77,0,0.419,0.0
Aurelia,63.81,10,0.491,324.79
Aurelia,69.3,6,0.286,296.88
Cyndara,2.89,0,0.113,0.0
Borvik,36.46,7,0.101,229.44
Borvik,22.58,2,0.279,32.56
Borvik,16.95,3,0.261,37.58
Borvik,133.59,10,0.198,1071.39
Aurelia,38.4,1,0.594,15.59
Aurelia,4.97,0,0.424,0.0
Aurelia,24.19,5,,90.83
Cyndara,42.02,1,0.318,28.66
Aurelia,38.46,4,0.316,105.23
Borvik,63.03,6,0.058,356.25
Aurelia,60.15,4,0.019,236.03
Aurelia,205.53,21,0.107,3854.3
Cyndara,17.03,0,0.108,0.0
Cyndara,107.6,13,0.245,1056.09
Aurelia,54.53,3,0.34,107.97
Borvik,5.21,0,0.51,0.0
Borvik,67.07,8,,368.08
Borvik,7.7,0,0.544,0.0
Cyndara,30.33,4,0.442,67.7
Borvik,28.9,1,0.734,7.69
Aurelia,44.71,4,0.37,112.67
Drostal,58.1,4,0.36,148.74
Borvik,40.22,8,0.428,184.05
Aurelia,47.16,3,0.142,121.39
Borvik,91.45,3,0.143,235.12
Aurelia,1.85,0,0.392,0.0
Borvik,24.55,2,0.127,42.86
Cyndara,45.18,7,0.299,221.7
Borvik,124.58,10,0.429,711.35
Drostal,39.85,4,0.086,145.69
Borvik,74.18,7,0.56,228.47
Drostal,28.27,1,0.292,20.02
Aurelia,58.25,3,0.062,163.92
Aurelia,28.42,2,0.205,45.19
Aurelia,63.02,11,0.251,519.22
Cyndara,30.41,3,0.354,58.93
Aurelia,31.18,2,0.294,44.03
Aurelia,56.4,6,0.629,125.55
Aurelia,57.41,12,0.644,245.26
Aurelia,79.13,8,0.343,415.91
Aurelia,52.45,6,0.172,260.57
Aurelia,76.97,5,0.296,270.93
Drostal,13.16,0,0.202,0.0
Aurelia,74.57,6,0.304,311.4
Cyndara,24.14,4,0.219,75.41
Aurelia,30.06,1,0.326,20.26
Aurelia,75.88,7,0.279,382.97
Borvik,38.07,3,0.314,78.35
Borvik,35.65,2,0.198,57.18
Cyndara,14.74,3,0.54,20.34
Borvik,59.81,2,0.333,79.79
Borvik,22.12,3,0.368,41.94
Borvik,29.21,0,0.162,0.0
Borvik,86.91,6,0.126,455.76
Borvik,34.46,6,0.291,146.59
Borvik,74.28,11,0.26,604.64
Drostal,45.94,3,0.416,80.49
Cyndara,97.59,7,0.423,394.17
Cyndara,20.8,4,0.18,68.22
Aurelia,9.77,0,0.251,0.0
Aurelia,45.01,4,0.542,82.46
Aurelia,1.65,0,0.297,0.0
Cyndara,3.59,0,0.785,0.0
Aurelia,63.25,4,0.349,164.7
Aurelia,42.03,4,0.472,88.77
Aurelia,69.07,6,0.102,372.15
Aurelia,3.03,0,0.205,0.0
Borvik,68.81,4,0.095,249.09
Drostal,54.04,3,0.255,120.78
Borvik,9.61,2,0.286,13.72
Aurelia,97.83,8,0.505,387.41
Borvik,24.02,2,0.176,39.58
Cyndara,56.0,6,0.509,164.98
Cyndara,89.94,5,0.202,358.86
Borvik,38.66,2,0.122,67.89
Cyndara,47.82,10,0.207,379.21
Cyndara,41.35,6,0.505,122.81
Borvik,45.57,8,0.237,278.16
Cyndara,53.18,6,0.232,245.05
Aurelia,12.52,1,0.032,12.12
Borvik,59.2,10,0.309,409.07
Aurelia,25.64,6,0.33,103.07
Aurelia,94.08,12,0.04,1083.8
Aurelia,45.14,3,0.327,91.14
Drostal,23.08,3,0.513,33.72
Borvik,38.83,2,0.268,56.85
Aurelia,47.06,4,0.259,139.49
Borvik,57.07,7,0.312,274.85
Aurelia,14.41,4,0.325,38.91
Borvik,134.22,15,0.456,1095.24
Aurelia,43.26,4,0.394,104.86
Aurelia,43.61,2,0.574,37.16
Borvik,102.33,3,0.2,245.59
Cyndara,31.94,4,0.124,111.92
Drostal,70.48,3,0.66,71.89
Aurelia,25.92,6,0.435,87.87
Aurelia,45.15,0,0.129,0.0
Aurelia,29.39,6,0.179,144.78
Borvik,11.22,2,0.137,19.37
Borvik,42.77,2,0.367,54.15
Cyndara,33.41,3,0.329,67.25
Borvik,7.38,1,0.065,6.9
Borvik,15.63,0,0.257,0.0
Drostal,31.83,2,0.702,18.97
Aurelia,51.66,6,0.372,194.65
Borvik,53.57,6,0.067,299.88
Aurelia,32.48,4,0.08,119.53
Cyndara,108.85,18,0.067,1828.03
Cyndara,16.92,2,0.128,29.51
Borvik,56.4,6,0.352,219.28
Drostal,31.27,3,0.033,90.71
Borvik,22.75,5,0.33,76.21
Aurelia,35.88,2,0.153,60.78
Aurelia,89.46,7,0.209,495.34
Cyndara,133.14,8,0.09,969.26
Drostal,10.77,2,0.123,18.89
Aurelia,51.57,5,,203.96
Borvik,59.71,4,0.291,169.34
Aurelia,42.72,3,0.367,81.13
Aurelia,19.92,1,0.139,17.15
Cyndara,163.18,11,0.202,1432.39
Aurelia,171.42,11,0.233,1446.27
Aurelia,22.9,0,0.184,0.0
Aurelia,77.53,5,0.167,322.91
Drostal,88.99,12,0.177,878.87
Borvik,64.71,7,0.338,299.87
Aurelia,18.23,2,0.108,32.52
Cyndara,41.01,11,0.22,351.87
Borvik,44.18,7,,253.9
Aurelia,29.61,8,0.519,113.94
Borvik,89.56,11,0.191,796.99
Borvik,57.84,5,0.299,202.73
Borvik,63.33,10,,461.04
Aurelia,15.12,2,0.572,12.94
Aurelia,77.89,8,0.186,507.22
Borvik,133.45,15,0.096,1809.58
Aurelia,17.21,0,0.557,0.0
Aurelia,18.68,0,0.223,0.0
Borvik,47.44,11,0.274,378.86
Cyndara,106.67,12,0.183,1045.79
Drostal,20.21,1,0.053,19.14
Aurelia,72.17,3,0.253,161.73
Aurelia,23.76,4,0.04,91.24
Aurelia,24.14,1,0.267,17.69
Cyndara,14.12,1,0.021,13.82
Borvik,40.21,4,0.349,104.71
Aurelia,105.39,8,0.094,763.87
Borvik,31.91,3,0.223,74.38
Cyndara,10.0,1,0.052,9.48
Cyndara,19.35,2,0.36,24.77
Borvik,24.74,2,0.549,22.32
Drostal,93.15,11,0.19,829.97
Aurelia,120.54,11,0.674,432.26
Borvik,56.51,8,0.32,307.41
Borvik,22.37,5,0.256,83.22
Aurelia,7.99,2,0.759,3.85
Drostal,20.7,2,0.19,33.53
Drostal,13.84,0,0.319,0.0
Cyndara,74.1,7,,375.02
Aurelia,11.67,0,0.059,0.0
Aurelia,32.13,5,0.259,119.04
Cyndara,22.81,3,0.577,28.95
Aurelia,32.06,1,0.139,27.6
Cyndara,70.17,9,0.151,536.17
Cyndara,22.56,0,0.125,0.0
Cyndara,37.55,2,0.243,56.85
Borvik,3.93,0,0.329,0.0
Aurelia,9.2,0,0.101,0.0
Borvik,31.92,4,0.234,97.8
Borvik,66.06,8,,349.85
Borvik,42.32,3,0.182,103.85
Cyndara,68.48,5,0.718,96.56
Cyndara,12.75,0,0.6,0.0
Borvik,86.0,4,0.15,292.4
Aurelia,22.1,1,0.254,16.49
Borvik,42.48,5,0.107,189.67
Aurelia,14.59,2,0.452,15.99
Cyndara,30.3,4,0.476,63.51
Aurelia,46.91,6,0.136,243.18
Borvik,5.26,0,0.454,0.0
Borvik,37.1,5,,179.38
Cyndara,12.48,1,,6.39
Aurelia,97.72,9,0.122,772.18
Cyndara,45.8,4,0.172,151.69
Aurelia,59.8,5,0.122,262.52
Borvik,35.14,3,0.66,35.84
Borvik,67.19,3,0.343,132.43
Borvik,36.58,5,0.291,129.68
Aurelia,37.66,2,0.347,49.18
Aurelia,71.8,9,0.199,517.61
Drostal,21.89,0,0.308,0.0
Drostal,23.52,3,0.208,55.88
Cyndara,24.3,1,0.332,16.23
Borvik,18.13,1,0.198,14.54
Borvik,97.22,7,0.646,240.91
Cyndara,55.97,7,0.468,208.43
Cyndara,79.06,9,0.172,589.16
Aurelia,22.98,2,,28.17
Aurelia,17.4,0,0.225,0.0
Aurelia,86.61,9,0.135,674.26
Drostal,41.39,2,0.224,64.24
Cyndara,59.53,2,0.524,56.67
Cyndara,67.41,7,0.071,438.37
Borvik,61.54,4,0.38,152.62
Drostal,186.56,21,,3486.81
Aurelia,26.74,0,0.351,0.0
Borvik,15.87,1,0.379,9.86
Borvik,27.67,3,0.593,33.79
Borvik,20.07,1,0.286,14.33
Borvik,32.52,3,0.591,39.9
Drostal,1.99,0,0.061,0.0
Borvik,7.15,1,,3.4
Drostal,34.5,3,0.394,62.72
Borvik,93.62,5,0.526,221.88
Aurelia,13.52,1,0.327,9.1
Cyndara,11.25,0,0.371,0.0
Drostal,25.31,5,0.324,85.55
Cyndara,43.02,2,0.151,73.05
Aurelia,48.2,6,,218.64
Aurelia,74.48,7,0.293,368.6
Drostal,28.62,2,0.486,29.42
Borvik,26.53,4,0.729,28.76
Borvik,79.99,9,0.332,480.9
Aurelia,65.85,4,0.353,170.42
Aurelia,40.04,3,0.423,69.31
Borvik,77.16,7,0.112,479.63
Borvik,66.74,8,0.716,151.63
Aurelia,39.69,4,0.082,145.74
Aurelia,17.72,1,0.161,14.87
Borvik,43.73,5,0.315,149.78
Cyndara,75.14,6,0.299,316.04
Aurelia,101.59,6,0.171,505.31
Drostal,119.87,12,0.166,1199.66
Drostal,19.68,3,0.153,50.01
Borvik,63.35,7,0.18,363.63
Borvik,40.94,6,0.442,137.07
Cyndara,2.64,1,0.042,2.53
Borvik,42.83,4,0.149,145.79
Borvik,14.71,1,0.259,10.9
Borvik,12.15,0,0.161,0.0
Aurelia,51.75,6,0.47,164.56
Cyndara,26.5,4,0.227,81.94
Borvik,49.28,6,0.132,256.65
Borvik,78.45,9,0.056,666.51
Aurelia,151.59,14,0.26,1570.47
Borvik,20.36,2,0.41,24.02
Cyndara,96.67,8,0.349,503.46
Borvik,86.28,7,0.329,405.26
Cyndara,28.99,2,0.032,56.12
Cyndara,58.6,3,0.409,103.9
Aurelia,95.34,10,0.185,777.02
Cyndara,75.68,10,0.165,631.93
Aurelia,54.37,9,,448.23
Aurelia,57.21,11,0.614,242.91
Borvik,23.58,2,0.283,33.81
Cyndara,74.95,7,0.045,501.04
Borvik,40.1,4,0.569,69.13
Borvik,32.34,3,0.306,67.33
Cyndara,52.87,2,0.268,77.4
Borvik,77.11,12,0.551,415.47
Borvik,4.23,1,0.351,2.75
Cyndara,18.13,5,0.111,80.59
Cyndara,100.26,15,0.247,1132.44
Borvik,31.27,2,0.223,48.59
Borvik,16.56,1,0.668,5.5
Aurelia,28.11,2,0.211,44.36
Aurelia,13.19,1,0.465,7.06
Borvik,121.7,10,0.353,787.4
Aurelia,9.86,0,0.293,0.0
Borvik,50.17,3,0.147,128.39
Borvik,41.16,9,0.071,344.14
Borvik,14.86,3,0.16,37.45
Cyndara,63.55,7,0.06,418.16
Aurelia,58.19,6,0.38,216.47
Cyndara,44.52,5,0.13,193.66
Aurelia,70.72,6,0.387,260.11
Cyndara,31.53,2,0.314,43.26
Aurelia,24.42,3,0.314,50.26
Borvik,19.83,1,0.072,18.4
Borvik,46.85,2,0.145,80.11
Borvik,95.36,14,,789.01
Aurelia,17.09,0,0.284,0.0
Borvik,34.47,3,0.382,63.91
Aurelia,74.39,7,0.21,411.38
Aurelia,70.21,6,0.554,187.88
Aurelia,28.4,5,0.384,87.47
Borvik,17.83,2,0.385,21.93
Cyndara,51.86,7,0.381,224.71
Aurelia,70.37,7,0.292,348.75
Cyndara,12.17,1,0.507,6.0
Cyndara,17.32,1,0.33,11.6
Borvik,28.62,2,0.515,27.76
Aurelia,40.57,0,0.419,0.0
Borvik,43.77,4,0.399,105.22
Drostal,32.33,0,0.418,0.0
Drostal,69.27,9,0.153,528.05
Cyndara,19.54,3,0.331,39.22
Borvik,52.56,4,0.182,171.98
Drostal,25.89,5,0.837,21.1
Aurelia,46.35,6,0.757,67.58
Borvik,69.26,5,0.103,310.63
Drostal,8.51,0,0.216,0.0
Aurelia,49.45,5,0.223,192.11
Aurelia,60.05,6,0.402,215.46
Borvik,8.96,1,0.164,7.49
Aurelia,32.3,3,,85.37
Cyndara,19.58,1,0.114,17.35
Aurelia,84.34,4,0.398,203.09
Aurelia,18.84,2,0.411,22.19
Borvik,105.24,11,0.132,1004.83
